0,1,2
instance-00001b09,instance-00001a52,"[50, 51, 14, 15]"
instance-00001b09,instance-00001ab5,"[50, 51, 14, 15]"
instance-00001b09,instance-0000178e,"[50, 51, 14, 15]"
instance-00001785,instance-0000179d,"[33, 67, 69, 31]"
instance-00001785,instance-00001797,"[33, 67, 69, 31]"
instance-00001785,instance-00001713,"[33, 69]"
instance-00001785,instance-00001695,"[33, 69]"
instance-00001785,instance-00001b0f,"[33, 67, 69, 31]"
instance-00001785,instance-0000166b,"[33, 69]"
instance-00001785,instance-0000170a,"[33, 69]"
instance-00001785,instance-00001794,"[33, 67, 69, 31]"
instance-00001a61,instance-00001722,"[10, 46]"
instance-00001a61,instance-00001a4f,"[10, 46]"
instance-00001a61,instance-00000d91,"[10, 46]"
instance-00001a61,instance-000016ad,"[10, 46]"
instance-00001a61,instance-00001797,"[10, 46]"
instance-00001a61,instance-00001788,"[10, 46]"
instance-00001a61,instance-0000171f,"[10, 46]"
instance-00001a61,instance-00001adf,"[10, 46]"
instance-00001a61,instance-000016a7,"[10, 46]"
instance-00001a61,instance-000016fe,"[10, 46]"
instance-00001a61,instance-00001abb,"[10, 46]"
instance-00001a61,instance-00001707,"[10, 46]"
instance-00001a61,instance-00001a46,"[10, 46]"
instance-00001a61,instance-00001aca,"[10, 46]"
instance-00001a61,instance-000016f2,"[10, 46]"
instance-00001a61,instance-0000178b,"[10, 46]"
instance-00001a61,instance-00001abe,"[10, 46]"
instance-00001a61,instance-000016c2,"[10, 46]"
instance-00001a61,instance-00001671,"[10, 46]"
instance-00001a61,instance-00001689,"[10, 46]"
instance-00001a61,instance-000016b0,"[10, 46]"
instance-00001a61,instance-00001719,"[10, 46]"
instance-00001a61,instance-000016b3,"[10, 46]"
instance-00001a61,instance-00001794,"[10, 46]"
instance-00001a61,instance-000016bc,"[10, 46]"
instance-00001a61,instance-000016c5,"[10, 46]"
instance-00001a61,instance-00001a52,"[10, 46]"
instance-00001a61,instance-00001ab5,"[10, 46]"
instance-00001a61,instance-0000178e,"[10, 46]"
instance-00001a8e,instance-00001a8b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001afa,"[16, 43, 52, 7]"
instance-00001a8e,instance-00001782,"[8, 2, 44, 38]"
instance-00001a8e,instance-00001a9a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001797,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001788,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a73,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-0000169b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a6a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001662,"[16, 43, 52, 7]"
instance-00001a8e,instance-0000170d,"[8, 2, 44, 38]"
instance-00001a8e,instance-0000168f,"[16, 43, 52, 7]"
instance-00001a8e,instance-0000166e,"[8, 2, 44, 38]"
instance-00001a8e,instance-00001a76,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a70,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a43,"[16, 43, 52, 7]"
instance-00001a8e,instance-00001aee,"[8, 2, 44, 38]"
instance-00001a8e,instance-00001a85,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a88,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001af1,"[2, 38, 7, 43, 16, 52]"
instance-00001a8e,instance-0000178b,"[8, 44]"
instance-00001a8e,instance-00001a97,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00000d8e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001677,"[16, 43, 52, 7]"
instance-00001a8e,instance-00001704,"[8, 2, 44, 38]"
instance-00001a8e,instance-00001716,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a6d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-000016f5,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-000016a1,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a91,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001794,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001701,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a9d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a7f,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-00001a67,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8e,instance-0000178e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-0000165f,instance-00001a4c,"[50, 51, 14, 15]"
instance-0000165f,instance-00000d91,"[50, 51, 14, 15]"
instance-0000165f,instance-000016ad,"[50, 51, 14, 15]"
instance-0000165f,instance-00001797,"[50, 51, 14, 15]"
instance-0000165f,instance-00001788,"[50, 51, 14, 15]"
instance-0000165f,instance-0000171f,"[50, 51, 14, 15]"
instance-0000165f,instance-00001adf,"[50, 51, 14, 15]"
instance-0000165f,instance-0000170d,"[50, 51, 14, 15]"
instance-0000165f,instance-0000166e,"[50, 51, 14, 15]"
instance-0000165f,instance-00001b06,"[50, 51, 14, 15]"
instance-0000165f,instance-00001707,"[50, 51, 14, 15]"
instance-0000165f,instance-00001aee,"[50, 14]"
instance-0000165f,instance-00001a46,"[51, 15]"
instance-0000165f,instance-00001aca,"[50, 51, 14, 15]"
instance-0000165f,instance-000016f2,"[50, 51, 14, 15]"
instance-0000165f,instance-0000178b,"[50, 51, 14, 15]"
instance-0000165f,instance-00001abe,"[50, 51, 14, 15]"
instance-0000165f,instance-00001704,"[50, 51, 14, 15]"
instance-0000165f,instance-00001671,"[50, 51, 14, 15]"
instance-0000165f,instance-00001689,"[50, 51, 14, 15]"
instance-0000165f,instance-000016b0,"[51, 15]"
instance-0000165f,instance-00001683,"[50, 14]"
instance-0000165f,instance-00001665,"[50, 51, 14, 15]"
instance-0000165f,instance-000016b3,"[50, 51, 14, 15]"
instance-0000165f,instance-00001794,"[50, 51, 14, 15]"
instance-0000165f,instance-000016bc,"[50, 51, 14, 15]"
instance-0000165f,instance-000016c5,"[50, 51, 14, 15]"
instance-0000165f,instance-00001a52,"[50, 51, 14, 15]"
instance-0000165f,instance-00001ab5,"[50, 51, 14, 15]"
instance-0000165f,instance-0000178e,"[50, 51, 14, 15]"
instance-00001722,instance-00001a4f,"[10, 11, 46, 47]"
instance-00001722,instance-00000d91,"[10, 11, 46, 47]"
instance-00001722,instance-000016ad,"[10, 11, 46, 47]"
instance-00001722,instance-00001797,"[10, 11, 46, 47]"
instance-00001722,instance-00001788,"[10, 11, 46, 47]"
instance-00001722,instance-00001af4,"[41, 42, 5, 6]"
instance-00001722,instance-0000171f,"[10, 11, 46, 47]"
instance-00001722,instance-00001aaf,"[5, 6, 41, 42, 11, 47]"
instance-00001722,instance-00001adf,"[10, 46]"
instance-00001722,instance-000016a7,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001722,instance-000016fe,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001722,instance-00001abb,"[6, 10, 11, 42, 46, 47]"
instance-00001722,instance-00001a40,"[41, 5]"
instance-00001722,instance-00001707,"[10, 11, 46, 47]"
instance-00001722,instance-00001ad0,"[41, 42, 5, 6]"
instance-00001722,instance-00001a46,"[10, 46]"
instance-00001722,instance-00001ac4,"[5, 6, 41, 42, 11, 47]"
instance-00001722,instance-00001aca,"[10, 46]"
instance-00001722,instance-000016f2,"[10, 11, 46, 47]"
instance-00001722,instance-0000178b,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001722,instance-0000168c,"[42, 11, 6, 47]"
instance-00001722,instance-00001abe,"[10, 46]"
instance-00001722,instance-000016c2,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001722,instance-00001671,"[10, 11, 46, 47]"
instance-00001722,instance-000016bf,"[41, 42, 5, 6]"
instance-00001722,instance-00001689,"[10, 11, 46, 47]"
instance-00001722,instance-00001686,"[42, 6]"
instance-00001722,instance-00001ab8,"[41, 5]"
instance-00001722,instance-000016b0,"[6, 10, 11, 42, 46, 47]"
instance-00001722,instance-00001719,"[5, 6, 41, 10, 11, 42, 46, 47]"
instance-00001722,instance-000016b3,"[10, 11, 46, 47]"
instance-00001722,instance-0000165c,"[41, 42, 5, 6]"
instance-00001722,instance-00001794,"[10, 11, 46, 47]"
instance-00001722,instance-000016bc,"[10, 11, 46, 47]"
instance-00001722,instance-00001aac,"[41, 42, 5, 6]"
instance-00001722,instance-00001674,"[41, 42, 5, 6]"
instance-00001722,instance-000016c5,"[10, 11, 46, 47]"
instance-00001722,instance-00001a52,"[10, 46]"
instance-00001722,instance-00001ac1,"[5, 6, 41, 42, 11, 47]"
instance-00001722,instance-00001ab2,"[5, 6, 41, 42, 11, 47]"
instance-00001722,instance-00001ab5,"[10, 46]"
instance-00001722,instance-000016a4,"[41, 42, 5, 6]"
instance-00001722,instance-0000178e,"[10, 11, 46, 47]"
instance-00001af7,instance-00001b0c,"[65, 34, 29, 70]"
instance-00001af7,instance-0000179d,"[65, 34, 29, 70]"
instance-00001af7,instance-00001797,"[65, 34, 29, 70]"
instance-00001af7,instance-00001713,"[65, 34, 29, 70]"
instance-00001af7,instance-00001ae2,"[65, 34, 29, 70]"
instance-00001af7,instance-00001695,"[65, 34, 29, 70]"
instance-00001af7,instance-00001ad3,"[65, 34, 29, 70]"
instance-00001af7,instance-00001aeb,"[65, 34, 29, 70]"
instance-00001af7,instance-00001b12,"[65, 34, 29, 70]"
instance-00001af7,instance-00001b00,"[65, 34, 29, 70]"
instance-00001af7,instance-00001afd,"[65, 34, 29, 70]"
instance-00001af7,instance-00001b03,"[65, 34, 29, 70]"
instance-00001af7,instance-0000166b,"[65, 34, 29, 70]"
instance-00001af7,instance-0000170a,"[65, 34, 29, 70]"
instance-00001af7,instance-00001794,"[65, 34, 29, 70]"
instance-00001af7,instance-00001a55,"[65, 34, 29, 70]"
instance-00001af7,instance-00001ac7,"[65, 34, 29, 70]"
instance-00001a8b,instance-00001afa,"[16, 43, 52, 7]"
instance-00001a8b,instance-00001782,"[8, 2, 44, 38]"
instance-00001a8b,instance-00001a9a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001797,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001788,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a73,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-0000169b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a6a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001662,"[16, 43, 52, 7]"
instance-00001a8b,instance-0000170d,"[8, 2, 44, 38]"
instance-00001a8b,instance-0000168f,"[16, 43, 52, 7]"
instance-00001a8b,instance-0000166e,"[8, 2, 44, 38]"
instance-00001a8b,instance-00001a76,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a70,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a43,"[16, 43, 52, 7]"
instance-00001a8b,instance-00001aee,"[8, 2, 44, 38]"
instance-00001a8b,instance-00001a85,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a88,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001af1,"[2, 38, 7, 43, 16, 52]"
instance-00001a8b,instance-0000178b,"[8, 44]"
instance-00001a8b,instance-00001a97,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00000d8e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001677,"[16, 43, 52, 7]"
instance-00001a8b,instance-00001704,"[8, 2, 44, 38]"
instance-00001a8b,instance-00001716,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a6d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-000016f5,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-000016a1,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a91,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001794,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001701,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a9d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a7f,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-00001a67,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a8b,instance-0000178e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a4c,instance-00000d91,"[50, 51, 14, 15]"
instance-00001a4c,instance-000016ad,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001797,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001788,"[50, 51, 14, 15]"
instance-00001a4c,instance-0000171f,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001adf,"[50, 51, 14, 15]"
instance-00001a4c,instance-0000170d,"[50, 51, 14, 15]"
instance-00001a4c,instance-0000166e,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001b06,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001707,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001aee,"[50, 14]"
instance-00001a4c,instance-00001a46,"[51, 15]"
instance-00001a4c,instance-00001aca,"[50, 51, 14, 15]"
instance-00001a4c,instance-000016f2,"[50, 51, 14, 15]"
instance-00001a4c,instance-0000178b,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001abe,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001704,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001671,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001689,"[50, 51, 14, 15]"
instance-00001a4c,instance-000016b0,"[51, 15]"
instance-00001a4c,instance-00001683,"[50, 14]"
instance-00001a4c,instance-00001665,"[50, 51, 14, 15]"
instance-00001a4c,instance-000016b3,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001794,"[50, 51, 14, 15]"
instance-00001a4c,instance-000016bc,"[50, 51, 14, 15]"
instance-00001a4c,instance-000016c5,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001a52,"[50, 51, 14, 15]"
instance-00001a4c,instance-00001ab5,"[50, 51, 14, 15]"
instance-00001a4c,instance-0000178e,"[50, 51, 14, 15]"
instance-00001a4f,instance-00000d91,"[10, 11, 46, 47]"
instance-00001a4f,instance-000016ad,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001797,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001788,"[10, 11, 46, 47]"
instance-00001a4f,instance-0000171f,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001aaf,"[11, 47]"
instance-00001a4f,instance-00001adf,"[10, 46]"
instance-00001a4f,instance-000016a7,"[10, 11, 46, 47]"
instance-00001a4f,instance-000016fe,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001abb,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001707,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001a46,"[10, 46]"
instance-00001a4f,instance-00001ac4,"[11, 47]"
instance-00001a4f,instance-00001aca,"[10, 46]"
instance-00001a4f,instance-000016f2,"[10, 11, 46, 47]"
instance-00001a4f,instance-0000178b,"[10, 11, 46, 47]"
instance-00001a4f,instance-0000168c,"[11, 47]"
instance-00001a4f,instance-00001abe,"[10, 46]"
instance-00001a4f,instance-000016c2,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001671,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001689,"[10, 11, 46, 47]"
instance-00001a4f,instance-000016b0,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001719,"[10, 11, 46, 47]"
instance-00001a4f,instance-000016b3,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001794,"[10, 11, 46, 47]"
instance-00001a4f,instance-000016bc,"[10, 11, 46, 47]"
instance-00001a4f,instance-000016c5,"[10, 11, 46, 47]"
instance-00001a4f,instance-00001a52,"[10, 46]"
instance-00001a4f,instance-00001ac1,"[11, 47]"
instance-00001a4f,instance-00001ab2,"[11, 47]"
instance-00001a4f,instance-00001ab5,"[10, 46]"
instance-00001a4f,instance-0000178e,"[10, 11, 46, 47]"
instance-00001b0c,instance-0000179d,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001797,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001713,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001ae2,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001695,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001ad3,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001aeb,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001b12,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001b00,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001afd,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001b03,"[65, 34, 29, 70]"
instance-00001b0c,instance-0000166b,"[65, 34, 29, 70]"
instance-00001b0c,instance-0000170a,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001794,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001a55,"[65, 34, 29, 70]"
instance-00001b0c,instance-00001ac7,"[65, 34, 29, 70]"
instance-00001afa,instance-00001a9a,"[16, 43, 52, 7]"
instance-00001afa,instance-00001797,"[16, 43, 52, 7]"
instance-00001afa,instance-00001788,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a73,"[16, 43, 52, 7]"
instance-00001afa,instance-0000169b,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a6a,"[16, 43, 52, 7]"
instance-00001afa,instance-00001662,"[16, 43, 52, 7]"
instance-00001afa,instance-0000168f,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a76,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a70,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a43,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a85,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a88,"[16, 43, 52, 7]"
instance-00001afa,instance-00001af1,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a97,"[16, 43, 52, 7]"
instance-00001afa,instance-00000d8e,"[16, 43, 52, 7]"
instance-00001afa,instance-00001677,"[16, 43, 52, 7]"
instance-00001afa,instance-00001716,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a6d,"[16, 43, 52, 7]"
instance-00001afa,instance-000016f5,"[16, 43, 52, 7]"
instance-00001afa,instance-000016a1,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a91,"[16, 43, 52, 7]"
instance-00001afa,instance-00001794,"[16, 43, 52, 7]"
instance-00001afa,instance-00001701,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a9d,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a7f,"[16, 43, 52, 7]"
instance-00001afa,instance-00001a67,"[16, 43, 52, 7]"
instance-00001afa,instance-0000178e,"[16, 43, 52, 7]"
instance-00001782,instance-00001a9a,"[8, 2, 44, 38]"
instance-00001782,instance-00001797,"[8, 2, 44, 38]"
instance-00001782,instance-00001788,"[8, 2, 44, 38]"
instance-00001782,instance-00001a73,"[8, 2, 44, 38]"
instance-00001782,instance-0000169b,"[8, 2, 44, 38]"
instance-00001782,instance-00001a6a,"[8, 2, 44, 38]"
instance-00001782,instance-0000170d,"[8, 2, 44, 38]"
instance-00001782,instance-0000166e,"[8, 2, 44, 38]"
instance-00001782,instance-00001a76,"[8, 2, 44, 38]"
instance-00001782,instance-00001a70,"[8, 2, 44, 38]"
instance-00001782,instance-00001aee,"[8, 2, 44, 38]"
instance-00001782,instance-00001a85,"[8, 2, 44, 38]"
instance-00001782,instance-00001a88,"[8, 2, 44, 38]"
instance-00001782,instance-00001af1,"[2, 38]"
instance-00001782,instance-0000178b,"[8, 44]"
instance-00001782,instance-00001a97,"[8, 2, 44, 38]"
instance-00001782,instance-00000d8e,"[8, 2, 44, 38]"
instance-00001782,instance-00001704,"[8, 2, 44, 38]"
instance-00001782,instance-00001716,"[8, 2, 44, 38]"
instance-00001782,instance-00001a6d,"[8, 2, 44, 38]"
instance-00001782,instance-000016f5,"[8, 2, 44, 38]"
instance-00001782,instance-000016a1,"[8, 2, 44, 38]"
instance-00001782,instance-00001a91,"[8, 2, 44, 38]"
instance-00001782,instance-00001794,"[8, 2, 44, 38]"
instance-00001782,instance-00001701,"[8, 2, 44, 38]"
instance-00001782,instance-00001a9d,"[8, 2, 44, 38]"
instance-00001782,instance-00001a7f,"[8, 2, 44, 38]"
instance-00001782,instance-00001a67,"[8, 2, 44, 38]"
instance-00001782,instance-0000178e,"[8, 2, 44, 38]"
instance-0000179d,instance-00001797,"[65, 34, 67, 33, 69, 70, 66, 35, 71, 30, 24, 26, 60, 29, 62, 31]"
instance-0000179d,instance-00001713,"[65, 34, 33, 69, 70, 24, 60, 29]"
instance-0000179d,instance-00001ae2,"[65, 34, 70, 24, 60, 29]"
instance-0000179d,instance-00001695,"[65, 34, 33, 69, 70, 24, 60, 29]"
instance-0000179d,instance-00001ad3,"[65, 34, 70, 24, 60, 29]"
instance-0000179d,instance-00001aeb,"[65, 34, 70, 24, 60, 29]"
instance-0000179d,instance-00001b0f,"[33, 67, 69, 31]"
instance-0000179d,instance-00001b12,"[65, 34, 29, 70]"
instance-0000179d,instance-00001b00,"[65, 34, 29, 70]"
instance-0000179d,instance-00001afd,"[65, 34, 29, 70]"
instance-0000179d,instance-00001b03,"[65, 34, 29, 70]"
instance-0000179d,instance-0000166b,"[65, 34, 33, 69, 70, 24, 60, 29]"
instance-0000179d,instance-0000170a,"[65, 34, 33, 69, 70, 24, 60, 29]"
instance-0000179d,instance-00001794,"[65, 34, 67, 33, 69, 70, 66, 35, 71, 30, 24, 26, 60, 29, 62, 31]"
instance-0000179d,instance-00001a55,"[65, 34, 29, 70]"
instance-0000179d,instance-00001ac7,"[65, 34, 70, 24, 60, 29]"
instance-00000d91,instance-000016ad,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-00001797,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-00001788,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-0000171f,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-00001aaf,"[11, 47]"
instance-00000d91,instance-00001adf,"[10, 46, 14, 15, 50, 51]"
instance-00000d91,instance-0000170d,"[50, 51, 14, 15]"
instance-00000d91,instance-000016a7,"[10, 11, 46, 47]"
instance-00000d91,instance-0000166e,"[50, 51, 14, 15]"
instance-00000d91,instance-000016fe,"[10, 11, 46, 47]"
instance-00000d91,instance-00001b06,"[50, 51, 14, 15]"
instance-00000d91,instance-00001abb,"[10, 11, 46, 47]"
instance-00000d91,instance-00001707,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-00001aee,"[50, 14]"
instance-00000d91,instance-00001a46,"[10, 51, 46, 15]"
instance-00000d91,instance-00001ac4,"[11, 47]"
instance-00000d91,instance-00001aca,"[10, 46, 14, 15, 50, 51]"
instance-00000d91,instance-000016f2,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-0000178b,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-0000168c,"[11, 47]"
instance-00000d91,instance-00001abe,"[10, 46, 14, 15, 50, 51]"
instance-00000d91,instance-00001704,"[50, 51, 14, 15]"
instance-00000d91,instance-000016c2,"[10, 11, 46, 47]"
instance-00000d91,instance-00001671,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-00001689,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-000016b0,"[10, 11, 46, 47, 15, 51]"
instance-00000d91,instance-00001683,"[50, 14]"
instance-00000d91,instance-00001665,"[50, 51, 14, 15]"
instance-00000d91,instance-00001719,"[10, 11, 46, 47]"
instance-00000d91,instance-000016b3,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-00001794,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-000016bc,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-000016c5,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00000d91,instance-00001a52,"[10, 46, 14, 15, 50, 51]"
instance-00000d91,instance-00001ac1,"[11, 47]"
instance-00000d91,instance-00001ab2,"[11, 47]"
instance-00000d91,instance-00001ab5,"[10, 46, 14, 15, 50, 51]"
instance-00000d91,instance-0000178e,"[10, 11, 46, 14, 15, 47, 50, 51]"
instance-00001a9a,instance-00001797,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001788,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a73,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-0000169b,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a6a,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001662,"[16, 43, 52, 7]"
instance-00001a9a,instance-0000170d,"[8, 2, 44, 38]"
instance-00001a9a,instance-0000168f,"[16, 43, 52, 7]"
instance-00001a9a,instance-0000166e,"[8, 2, 44, 38]"
instance-00001a9a,instance-00001a76,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a70,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a43,"[16, 43, 52, 7]"
instance-00001a9a,instance-00001aee,"[8, 2, 44, 38]"
instance-00001a9a,instance-00001a85,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a88,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001af1,"[2, 38, 7, 43, 16, 52]"
instance-00001a9a,instance-0000178b,"[8, 44]"
instance-00001a9a,instance-00001a97,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00000d8e,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001677,"[16, 43, 52, 7]"
instance-00001a9a,instance-00001704,"[8, 2, 44, 38]"
instance-00001a9a,instance-00001716,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a6d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-000016f5,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-000016a1,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a91,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001794,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001701,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a9d,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a7f,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-00001a67,"[2, 38, 7, 8, 43, 44, 16, 52]"
instance-00001a9a,instance-0000178e,"[2, 38, 7, 8, 43, 44, 16, 52]"
